abbiegen	turn off
paradeiser	Watermelon
parallel	side by side
parfüm	perfume
park	park
parken	to park
parkieren	to park
parkierenparkieren	to park
parkplatz	parking lot
parlament	Parliament
partei	party
partner	Partner
partnerin	Partner
party	party
pass	past
passagier	Passenger
passagierin	Passenger (female) or Female passenger
passen	fit
passieren	happen
passiern	to be crazy about something
passiv	passive
passivordentlich	Passively
passkontrolle	passport control
passt	fits
pasta	pasta
patient	patient
patientin	Female patient or a woman who is a doctor
paul	Paul
pauschal	blanket rate
pauschaldi	General fund
pause	Break
pech	bad luck
pedro	Peter
peinlich	embarrassing
peise	polish
pension	Pension
pensionieren	Retire
pensionist	Retiree
pensionistin	Retiree
perfekt	Perfect
permarkt	Fairground
perperfekt	Perfectly
perron	platform
perronbald	Platform baldachin
perserteppich	Persian carpet
person	person
personal	Personal
personalie	Personnel
personenstand	Population register
persönlich	Personally
peter	Peter
petra	Rock or stone
pfanne	Frying pan
pfeffer	pepper
pflanze	plant
pflanzen	plant
pflanzt	plants
pflaster	pavement
pflaume	Plum
pflaumenkuchen	Plum cake
pflegen	to care for or tend to
pfleger	Caregiver
pflegerin	Nurse
pflicht	duty
phantasie	imagination
picasso	Pablo Picasso
picknick	picnic
picknickmacher	Picnic organizer or picnic planner
pielen	to peel off or strip
pille	pill
pilz	mushroom
pizza	Pizza
pizzaservice	Pizza delivery service
plakat	poster
plan	plan
planen	to plan
planung	planning
plastik	Plastic
platz	space
plätze	seats
platzfrei	Free space
plötzlich	suddenly
plötzlichd	suddenly
plural	Many
politik	Politics
politiker	politician
politikerin	Politician (female) or Female Politician
politisch	Political
polizei	Police
polizist	policeman
polizistin	Female police officer
populär	Popular
populärda	Popular
port	harbour
porte	Gate
portemonnaie	wallet
portion	Share or part
portmonee	purse or wallet
portugiesisch	Portuguese
position	Location
positiv	Positive
post	mail
pöst	post
postleitzahl	postal code
pöstler	Postman
pöstlerin	Postmistress
postsendung	Postage
poststempel	postmark
potsdam	Potsdam
poulet	Chicken
praktika	Practical training or internship
praktikant	Practitioner or trainee
praktikantin	Practitioner or trainee (female)
praktikum	Practical training or internship
praktisch	Practical
praline	Chocolate confectionery made with two or more different ingredients, typically nuts and fruit, coated in a layer of chocolate.
präposition	preposition
präsentation	Presentation
präsentieren	present
präsident	President
praxen	practices
praxis	Practice
preis	price
preiswert	Affordable
presse	press
prima	Excellent, first-rate, superb
primaprivat	Private primary school
privat	Private
probier	try
probieren	to try
problem	problem
produkt	product
produktion	Production
produzieren	to produce
professor	Professor
professorin	Professor
profi	professional
profisportler	Professional athlete
profisportlerin	Professional athlete
programm	program
programmänderung	Program change
projekt	project
prospekt	Prospectus
prospekte	brochure
prost	Cheers!
protest	demonstration
protestieren	to protest
prozent	percent
prozess	process
prüfen	check
prüfung	examination
prüfungsort	Examination site
prüfungstermin	Examination date
publikum	audience
pullover	sweater
punkt	point
pünktlich	Punctually
puppe	Puppet
putzen	clean
qualifikation	Qualification
qualität	quality
quartier	Neighborhood or district
quer	at right angles or diagonally
quittung	Receipt
quiz	test or examination
rabatt	Discount
radeiser	Ratcatcher
radfahrer	cyclist
radfahrerin	Cyclist, female cyclist, woman cyclist
radio	radio
radkaputt	flat tire
rahm	frame
rand	edge
rannen	to run
rant	Rant
rasen	to run wildly or to mow (a lawn)
rasieren	Shave
rate	speed
raten	to guess, to estimate
ratespiel	Board game
rathaus	Town hall
ratschlag	Advice
rätsel	mystery
rauchen	to smoke
raucher	smoker
raucherin	Smoker (female) or Smokess (less common)
rauchst	smoke
raucht	smokes
rauchte	smoked
rauchverbot	smoking ban
rauf	up
raufkomm	Upcoming
raum	space
räumen	clear out, clear, clean up, move out, vacate
räumsen	to clean up
raus	out
rausgefunden	found out
rausgelaufen	run out
rdas	Rads
reagieren	to react
reaktion	Reaction
realisieren	realize
realistisch	Realistic
realität	reality
reception	reception
recherche	search
rechn	account
rechnen	to calculate
rechner	calculator
rechnung	invoice
rechnungsnummer	invoice number
recht	law, right
rechtbitte	appeal
rechte	right
rechter	right
rechtlich	Legally
rechts	right
rechtzeitig	in good time
rede	speech
reden	to speak, talk
reduzieren	reduce
referat	Report or lecture
reform	reform
regal	Royal
regel	rule
regelen	regulate
regelmäßig	Regularly
regeln	regulate
regen	rain
regenschirm	Umbrella
regentropf	Raindrop
regierung	Government
region	Area or Region
regional	Regional
regionalbahn	Regional train or Regionalbahn (a type of regional rail service)
regn	rain
regnen	to rain
reich	wealthy
reichen	suffice
reif	ripe
reifen	ripen
reihe	series
reihenfolge	sequence
rein	pure
reingehen	to go in
reinigen	clean
reinigung	cleaning
reis	rice
reise	journey
reisebüro	Travel agency
reiseleiterin	Tour guide
reisen	travel
reiseorganisation	Travel organization or Travel arrangement
reiten	to ride
reklame	Advertising
rekord	record
relativ	relatively
relativdi	Relative degree
religion	religion
rennen	to run
rennfahrer	Racing driver
renovieren	Renovate
renovierung	Renovation
rente	Pension
rentner	Retiree
rentnerin	Retiree
reparatur	Repair
reparieren	to repair
reparierst	repairing
repariertein	repaired in
reportage	Journalistic account or documentary film about a particular event or situation.
reporter	Journalist
reporterin	Female journalist or a female reporter.
reservieren	reserve
reservierung	Reservation
respekt	respect
rest	remainder
restau	restaurant
restaurant	Restaurant
retten	to save
rezept	recipe
rezeption	Reception
rgelten	Applied
rheinmainregion	Rhine-Main Region
ricardo	Ricardo
richten	to direct or to set up
richter	Judge
richterin	Judge
richtig	correct
richtung	direction
rico	rebound
riechen	smell
riesig	enormous, gigantic, enormous, huge, colossal, massive, gigantic, immense, enormous, gigantic, vast
riesigdas	Gigantic
rinaldo	Rinaldo
rind	calf
ring	circle
risikend	Risky
risiko	Risk
ritt	rode
rmüde	Tired
roberto	Robert
roch	smelled
rock	stone
rohr	pipe
rolle	roll
roman	novel
römisch	Roman
rose	flower
rote	red
rrigieren	To rig
rsich	Security
rück	back
rücken	back
rückfahrt	Return journey
rückkehr	return
rucksack	backpack
rückseite	back side
rücksicht	regard
rückwärts	backwards
rückzubekommen	to get back
rüebli	Rutabaga
rufen	call
rufensie	Rufous-sided Thrush
rufnummer	phone number
rufst	call you
ruhe	Rest
ruhen	rest
ruhetag	Public holiday
ruhig	Quiet
rund	round
runde	round
rundfahrt	Round trip
rundfunkgebühren	Broadcasting fees
runter	down
runtergelad	downloaded
runtergeworfen	Thrown down or thrown off
runterwerfe	Throw down
runterwerfen	Throw down or throw away
saal	hall
saarbrücken	Saarbrücken
sache	thing
sack	bag
säck	Sack
saft	juice
sagen	to say
sagteab	said
sahne	cream
saison	season
salat	Salad
salbe	Ointment
salon	parlor or living room
salz	salt
salzburg	Salzburg
salzig	Salty
sammeln	to collect
samstag	Saturday
samstagabend	Saturday evening
samstags	Saturdays
sämtlicher	all, entire, whole, every
sand	sand
sandda	Sand Dollar
sänger	Singer
sängerin	Singer
sant	salt
satt	full
satz	sentence
sauber	clean
sauce	Sauce
sauer	sour
sbahn	S-Bahn
schachtel	box
schade	a pity
schaden	harm
schädlich	Harmful
schaffen	create
schaft	shaft
schalten	switch
schalter	switch
scharf	sharp
schatten	shadows
schätzen	to appreciate
schauen	to look
schaufenster	window display
schauspieler	Actor
schauspielerin	Actress
schauspielrn	Theatre
scheibe	disc
scheiden	to separate or divorce
scheidung	Divorce
schein	appearance
scheinen	appear
schenken	to give or donate
schere	Scissors
schi	Sheikh
schick	smart, stylish
schickd	neatly dressed
schicken	send
schieben	push
schief	crooked
schießen	shoot
schiff	ship
schiffskatastrophe	Ship disaster or Maritime disaster
schild	shield
schimpfen	to scold or to insult
schinken	ham
schirm	umbrella
schlaf	sleep
schlafe	sleep
schlafen	sleep
schläfst	sleeps
schlag	blow
schlagen	to strike or hit
schlange	snake
schlank	slim
schlankschlecht	Thinly bad or poorly thin
schlecht	bad
schlechtgespieln	played badly
schlief	slept
schließen	close
schließlich	eventually
schlimm	badly, evil, wicked, terrible, awful, nasty, mean, cruel, vicious, vile, foul, heinous, atrocious, horrific, ghastly, gruesome
schloss	locked
schluss	end
schlüssel	key
schmal	narrow
schmecken	to taste
schmeckt	tastes
schmerz	pain
schmerzmittel	Painkiller
schmerztablett	painkiller
schmidt	smith
schminken	to make up
schmuck	jewelry
schmutz	dirt
schmutzig	Dirty
schmutzung	Filth or dirt
schnallen	buckle
schnee	snow
schneiden	cut
schneien	snow
schneite	snows
schnell	quickly
schnitt	cut
schnitzel	Veal cutlet or breaded and fried cutlet of pork, chicken, or veal.
schnupfen	catch cold
schnupfendie	Snuff box
schokolade	Chocolate
schokoladeneis	Chocolate ice cream
schokoladenglace	Chocolate glaze
schon	already
schön	beautiful
schöne	beautiful
schönes	beautiful
schonweg	Old road or ancient path
schöpfen	draw, scoop
schoss	shot
schrank	wardrobe
schränk	limit
schreck	fear
schrecken	frighten
schrecklich	Terrible
schreiben	to write
schreibheft	Notebook
schreibs	write (informal)
schreibtisch	desk
schreien	to scream
schrift	script
schriftlich	in writing
schriftsteller	writer
schriftstellerin	female writer or novelist
schritt	step
schu	shoe
schuh	shoe
schuhe	shoes
schuhgeschäft	Shoe shop or shoe store
schulabschluss	School leaving certificate
schularbeit	Schoolwork
schularbeitenimmer	Homework
schulbus	school bus
schuld	guilt
schuldig	Guilty
schule	school
schüler	Student
schülerin	Student (female) or pupil (female)
schülerinne	Female student
schulferien	School holidays
schulklasse	Class
schulter	shoulder
schulz	Schultz
schumacher	Schumacher
schüssel	bowl
schuster	Cobbler
schütteln	shake
schutz	protection
schützen	protect
schutzfaktor	Protection factor
schwach	Weak
schwager	brother-in-law
schwamm	swam
schwammerl	Mushroom
schwammerln	to dawdle or loiter about
schwanger	Pregnant
schwangerschaft	Pregnancy
schwarzes	black
schwarzfahren	Traveling without paying a fare or ticket.
schwarzwald	Black Forest
schweigen	Silence
schweizer	Swiss
schwer	heavy
schwester	sister
schwieger	father-in-law
schwiegerelter	father-in-law's father
schwiegertochter	Daughter-in-law
schwiegervater	father-in-law
schwierig	difficult
schwierigkeit	Difficulty
schwimmbad	swimming pool
schwimme	swim
schwimmen	to swim
schwimmenod	Swimming noodle
schwitzen	sweat
sechs	six
sechserpack	six-pack
seeluft	Sea air
seeufer	shoreline
sehen	to see
sehenswürdigkeit	Attraction or sight of interest
sehr	very
sehrbeliebt	Very popular
sehrgut	Miraculous good fortune
sehrschlecht	Very bad
sehrsteil	very steep
seid	are
seife	soap
sein	his
seit	since
seitdem	since then
seite	side
sekretär	Secretary
sekretärin	Secretary (female) or Secretary (noun), female equivalent of secretary
sekunde	second
selb	self
selber	self
selbst	alone, oneself, self
selbstständig	Independent
selbstverständlich	Of course, naturally, obviously
selbstverständlichd	Of course
selten	rarely
seltsam	Strange
semester	semester
semestermedizin	Semester medicine
seminar	Seminar
semmel	Bun
senden	to send
sender	Sender
sendung	Mission
senior	senior
senkrecht	perpendicular
senkrechtdi	perpendicular
serie	Series
service	Service
serviceangestellt	Employed
serviceangestellte	Civil servant
serviceangestellter	Civil servant
servieren	to serve
sessel	chair
sesselfehlen	to be in a state of high spirits
setzen	set
sich	oneself
sichbeteilig	Involved oneself
sicher	safe
sicherheit	Security
sichern	Secure
sicherung	Security device or fuse
sichscheiden	to part ways
sichtbar	visible
sichum	Sichuan pepper
sichumgezog	Surrounded by
sichzu	to itself
sieben	seven
sieg	victory
siegen	to win or conquer
sieger	Winner
siegerin	Winner
sieh	see
siehen	see
siehst	do you see
sieliegt	lies in the soul
sielink	Sail link
siemens	Watt
siezen	to use the formal form of "you"
siezt	seize
silvana	Silvan
sindganz	are completely
sindim	I couldn't find a match for "sindim" in my database. It's possible that it's a misspelling or a non-standard term.
singen	to sing
sinken	to sink or decline
sinn	meaning
sinnlos	pointless
sinnvoll	Reasonable
sionieren	to fantasize
situation	circumstances
situationauf	Situation-aware
sitz	seat
sitzen	to sit
sitzplatz	Seat
skifahren	Skiing
sobald	as soon as
sobaldselten	rarely
socke	Sock
sodass	so that
sofa	sofa
sofia	Sofia
sofort	immediately
sogar	even
sogenannt	so-called
sogenannter	so-called
sohn	son
solange	as long as
solch	such
solcher	such
sollen	should
sollsen	Sulphur
solltest	should
sommer	summer
sommerfahrplan	Summer timetable
sommerferien	Summer holidays
sommerfeststeht	Summer festival stand
sommerurlaub	Summer holiday
sonder	exception
sonderangebot	Special offer
sondern	but
sonderpreis	Special price
sonenstand	Sun position
sonja	Sonya
sonne	sun
sonnig	Sunny
sonntag	Sunday
sonntags	Sundays
sonst	otherwise
sorge	worry
sorgen	worry
sorry	Sorry
soschlimm	Terrible
soße	Sauce
souvenir	memento
soviel	so much
sovielso	So be it
sowieso	anyway
sowohl	both
sozial	social
sozialarbeiter	Social worker
sozialarbeiterin	Social worker
spanien	Spain
spanisch	Spanish
spannend	interesting
spannendspar	thrillingly frugal
sparen	to save
sparkonto	Savings account
sparsam	Frugal
spaß	fun
spät	late
spätestens	at the latest
spazier	stroll
spaziere	stroll
spazieren	take a stroll
spaziergang	Stroll or walk
speicheren	store
speicherkarte	Memory card
speichern	save
speis	food
speisekarte	Menu
speisewagen	Dining car
spezial	special
spezialist	Specialist
spezialistin	Specialist
spezialpflege	Special care
speziell	particularly
spiegel	mirror
spiel	game
spielen	to play
spielenlernen	Learn to play
spieler	player
spielerin	player (female)
spielplatz	Playground
spielt	plays
spielzeug	Toys
spitz	pointed
sport	Sport
sportart	Sporting discipline or Sport type
sporthalle	Sports hall
sportler	Athlete
sportlerin	Female athlete or female sportsman
sportlich	athletic
sportprojekt	Sports project
sportverein	Sports club or Sports association
sprach	language
sprache	Language
sprachinstitut	Language Institute
sprachkenntnis	Language knowledge
sprachkurs	Language course
sprachschule	Language school
sprechen	to speak
sprechstunde	Conversation hour
sprechstundeordn	Speaking hour order
sprich	Speak
sprichsen	sting
springen	to jump
spritze	Spray
sprochen	spoken
spülen	to rinse or wash
spur	track
spüren	feel
staat	state
stach	poked
stadie	stage
stadion	stadium
stadt	city
stadtbibliothek	City library
stadthalle	City Hall
städtisch	urban
stadtplan	city plan
stadtrundfahrt	City tour
stadtteil	district
stadtzentrum	city centre
stahl	steel
stammen	to come from
ständig	Constantly
standpunkt	point of view
stank	stank
star	star
stark	strong
starkbremsen	To brake hard or slam on brakes
start	begin
starten	to start
station	Station
statistik	Statistics
statistisch	Statistically
statt	instead of
stattfinden	take place
stau	traffic jam
staub	dust
staubsaugen	vacuum
staubsaugt	vacuumed
stauende	queueing
stechen	to prick or sting
steckdose	Power outlet
stecken	to be stuck or to stick
stecker	plug
stefan	Stephen
steffi	Steffi
stehen	stand
stehlen	steal
steig	rise
steige	rise
steigen	rise
steil	steep
stein	stone
stell	stand
stelle	place, put, set
stellen	to place or set
stellst	do you place
stempel	stamp
sterben	to die
stern	star
sternvorgestellen	star charting
steuer	tax
steuererklärung	Tax return
steuerkarte	Tax card
steward	Flight attendant
stewardess	Flight attendant
stiefel	boot
stiege	staircase
stiegenhaus	Staircase house or Stair tower
stiehlen	steal
stift	foundation
stil	style
stilistisch	stylistically
still	quietly
stimme	agreement
stimmeerkannt	Recognizable
stimmen	agree
stimmung	atmosphere
stinken	to smell badly or to have a bad odor
stlerinn	Female poet or writer
stochen	poked
stock	share
stockwerk	Floor
stoff	material
stolz	Proud
stolzstoppe	Proud stop or Proudly stopped
stoppen	to stop
stopptast	Stopwatch
stör	disturb
stören	disturb
störung	Disturbance or Disruption
stoßen	bump into
strafbar	Criminable
strafe	punishment
strafzettel	Traffic ticket
strafzettelbekommen	Received a parking ticket
strand	beach
straße	Street
straßenbahn	tram
straßenrand	roadside
straßenverkehr	road traffic
stre	star
strecke	stretch
streckeam	stretch mark
streichen	to scratch or to strike out (in a list)
streichholz	Matchbox
streik	strike
streiken	go on strike
streikt	goes on strike
streit	dispute
streiten	to argue
streng	Strict
strengen	severe
strengtsich	Strictly speaking
stress	tension
strich	line
strom	current
strumpf	stocking
strümpfe	stockings
stück	piece
student	student
studentin	female student
studie	study
studieren	to study
studierend	Student
studio	studio
studium	Study
stufe	step
stuhl	chair
stumm	Silent or mute
stummdi	Mute button
stunde	hour
stundespäter	later that day
sturm	storm
sturmangesagt	Storm warning
stürzen	fall
stuttgart	Stuttgart
such	such
suche	search
suchen	search
suchst	are you looking for?
sucht	seeks
süchtig	Addicted
suchtmittel	Detergent
südamerika	South America
südbahnhof	Southern railway station
süddeutschland	Southern Germany
süden	south
summe	sum
super	excellent, superb
supermarkt	supermarket
suppe	Soup
symbol	Symbol
sympathisch	Friendly, pleasant
system	System
szene	scene
tabelle	table
tablette	Tablet
tafel	Table
tagesablauf	Daily routine
täglich	daily
talent	Ability
tanken	fill up with petrol
tankstelle	Filling station
tante	Aunt
tanz	dance
tänze	dances
tanzen	dance
tarek	Tarek
tasche	pocket
taschengeld	pocket money
taschentuch	Handkerchief
tasse	cup
tastatur	keyboard
taste	flavor
täter	Perpetrator
täterin	Perpetrator
tätigkeit	Activity
tatsache	fact
tatsächlich	actually
taub	Deaf
tauchen	dive
tauchengehen	Diving walk or wading
tauschen	exchange
taxi	taxi
team	team
technik	Technology
technisch	technically
technologie	Technology
teekanne	Teapot
tegrieren	to taper
teil	part
teilen	share
teilnahme	participation
teilnehmen	participate
teilnehmende	Participating
teilnehmer	Participant
teilnehmerin	Participant (female) or Female participant
teilnehmerinn	Participant (female)
teilnehmerzahl	Number of participants
teilzeit	Part-time
telefon	telephone
telefonanbieter	Telecommunications provider or telephone service provider
telefonanschluss	Telephone connection or telephone line
telefonieren	to telephone or make a phone call
telefonnetzwerk	Telecommunications network
telefonnummer	phone number
telefonummer	telephone number
teller	counter
temperatur	temperature
tempo	speed
tennis	tennis
teppich	carpet
terlasse	abandon
termin	Term
terminkalender	Appointment calendar
tern	third
terrasse	balcony or patio
test	test
testen	to test
teuer	Expensive
teuerda	Expensive day
teuergeschichte	Cost history
text	text
theater	theatre
theaterstück	play
thek	theque
thema	Topic
theoretisch	Theoretically
theorie	Theory
therapie	Therapy
thieln	to steal
thomas	Thomas
ticket	ticket
tief	deep
tier	animal
tierpark	Zoological garden or zoo
tierversuch	animal testing
tipp	tip
tippen	to tap
tisch	table
titel	Title
tlerweil	Meanwhile
tocher	dowry
tochter	daughter
tödlich	Deadly
toilette	bathroom
toleranen	tolerant
tolerant	Tolerant
toll	great, fantastic
tolldie	I couldn't find a translation for "toll die" in my resources. It's possible that it's a colloquialism or a regional expression.
tomate	Tomato
tomatensaft	Tomato juice
topf	Pot
topfbringe	Pot hauler
torte	Cake
total	Complete, entire, whole, absolute
tote	dead
tourismus	Tourism
tourist	traveler
touristin	Tourist
tradition	Tradition
traditionell	Traditionally
tragen	to wear
trainer	Coach or Trainer
trainerin	Female coach or instructor
trainieren	train
training	Training
tram	tramway or streetcar
tran	Train
träne	tear
transport	transport
transportieren	to transport
traum	dream
traumberuf	Dream job
träumen	to dream
traurig	Sad
treffen	to meet
treffpunkt	Meeting point
treiben	to drive, to push, to promote
treibst	drives
trennen	separate
trennung	Separation
treppe	Staircase
treppenhaus	Staircase or Stairs
treten	to step, to take part in a competition, to participate
treu	faithful
trinken	to drink
trinkgeld	tip
trocken	dry
trocknen	dry
tropfen	drop
trottoir	pavement
trottoirda	sidewalk
trotzdem	Despite this; nonetheless
trotzdemda	Despite that
trotzdemuntersuchen	despite inquiry
tshirt	T-shirt
tuch	touch
tück	Cunning
tung	tungsten
türkei	Turkey
turm	tower
tüte	bag
typisch	Typical
ubahn	Underground railway or subway
über	above
überall	everywhere
überfahren	to overrun or to overtake
überfähren	cross
überfuhr	crossed over
überhaupt	in any case, at all
überholen	overtake
überlegen	thoughtful
überlegtdi	overthought
übermorgen	tomorrow next
übernach	overnight
übernachten	to stay overnight
übernachtung	overnight stay
übernehmen	take over
überprüfen	check
überqueren	cross
überraschen	surprise
überraschend	surprising
überraschung	Surprise
überreden	persuade
überschrift	Headline
übersetzen	translate
übersetzer	Translator
übersetzerin	female translator
übersetzung	Translation
überstunde	overtime
übertragen	transferred
übertreiben	Exaggerate
übertrieb	exaggerated
übertrieben	Exaggerated
überweisen	transfer
überweisung	Transfer
überwies	transferred
überzeugen	to convince
überzeugung	Conviction
überzeugunggekommen	Convinced of it
üblich	Usual or conventional
übrigens	Incidentally
übung	Practice
ufer	shore
uhrnach	Clock face
uhrsprechstunde	Consultation hour
umarmen	to hug
umarmt	hugged
umdrehen	turn around
umfahren	to bypass or circumvent
umfrage	Survey
umgebung	Environment, surroundings
umgedrehen	turned around
umgehen	avoid, circumvent, sidestep, get around
umgekehrt	Conversely, opposite, reversed
umgetauscht	exchanged
umgezog	relocated
umkehren	to turn around, to reverse
umleitung	Diversion
ummelden	Re-register or re-enrol
umsehen	look around
umso	the more
umsonst	Free of charge
umsonstübermorg	Free over morning
umsteigen	change trains/switch trains
umtausch	exchange
umtauschen	exchange
umwelt	Environment
umweltschutz	Environmental protection
umweltver	environmental
umweltverschmutzung	Environmental pollution or Environmental degradation
umziehen	move house
umzug	move
unangenehm	unpleasant
unbed	unbead
unbedingt	Absolutely
undbitt	unbeatable
undein	Undine
undwo	undue
unentschieden	Drawn
unfall	accident
unfallort	accident site
unfallursache	Cause of the accident
unfreundlich	Unfriendly
ungefähr	approximately
ungewöhnlich	unusual
unglaublich	incredible
unglaublichdas	incredible
unglück	unhappy
unheimlich	Frightening, eerie, uncanny
unheimlichin	Unnecessarily complicated
uniform	uniform
universität	University
unpünktlich	unpunctual
unser	our
unsere	our
unsübermorg	unsure in the morning
unten	below
unter	under
unterbrechen	interrupt
unterbrich	interrupt
unterchreeben	undermine
unterer	Lower
unterhalten	entertain
unterhaltung	entertainment
unterkunft	Accommodation
unterlage	Substrate
unterlassen	Omit, neglect, refrain from
unterlässen	overlook
untern	underneath
unternehmen	Company, enterprise, undertaking, business, venture
unternehmer	Entrepreneur
unternehmerin	Entrepreneur
unterricht	teaching lesson instruction
unterrichten	Teach
untersagen	Prohibit
unterscheiden	distinguish
unterschied	difference
unterschieden	distinguished
unterschiedlich	Different
unterschreiben	sign
unterschrift	Signature
unterstre	underline
unterstreichen	underline
unterstützen	to support
unterstützung	Support
untersuchen	investigate
untersuchung	Investigation
unterwegs	on the move
unwichtig	unimportant
urkunde	Document
urlaub	holiday
urlaubsfoto	Holiday photo
urlaubszeit	Holiday time
ursache	Cause
ursprünglich	Originally
urteil	Judgment
uschi	Ushi
vase	vase
vater	father
vegetarisch	Vegetarian
vegetarischda	Vegetarian
velo	Bicycle
velofahren	cycling
verabreden	Arrange, appoint, schedule, make an appointment, meet
verabredung	Appointment
verabschieden	to pass on, to pass away, to resign, to dismiss, to discharge, to approve, to adopt, to ratify, to confirm, to endorse, to sanction
verändern	change
veranstaltung	Event
verantwortlich	Responsible
verantwortung	Responsibility
verband	Association, federation, union
verbessern	Improve
verbesserung	Improvement
verbieten	Prohibit
verbinden	connect
verbindung	connection
verbot	Prohibition
verbrauchen	consume
verbrecher	Criminal
verbrecherin	Female offender or female criminal
verbrennen	to burn
verbringen	spend
verbundenunterschiedlich	Connectedly different
verdacht	Suspicion
verdächtig	Suspicious
verdächtigesr	suspicious
verdienen	earn
verein	Association, Union
vereinbaren	agree on, arrange, settle
vergangenheit	Past
vergangenheitvergeblich	Futile past
vergeblich	Futilely
vergessen	forgotten
vergisen	Forget
vergiss	forget
vergleich	Comparison
vergleichen	compare
vergnügen	amusement
vergnügt	pleased
vergnügtsich	Amused oneself
vergrößeren	enlarge
vergrößern	enlarge
verhaften	Arrest
verhalten	Behaviour
verhältnis	Proportion
verheiraten	Get married
verhielt	behaved
verhindern	prevent
verkaufen	to sell
verkäufer	Salesperson
verkäuferin	Saleswoman
verkehr	traffic
verkehrsmittel	Means of transport
verkehrszeichen	Traffic sign
verlag	Publisher
verlangen	to demand or to desire
verlängern	extend
verläsen	to be released
verlassen	abandoned, deserted, left
verlassendi	Abandoning
verlaufen	to run out, to last, to flow
verletzen	hurt
verletzter	injured
verletzung	Injury
verlieben	Fall in love
verliebtsich	Fell in love with
verlieren	to lose
verlierer	Losers
verliererin	Losser
verlust	Loss
vermeiden	avoid
vermiet	rents out, lets
vermieten	rent out, sublet
vermieter	Landlord
vermieterin	Landlady
vermietung	rental or letting
vermissen	Miss
vermittlung	Mediation or Intermediation
vermuen	mud
vermuten	to suspect
vermutlich	presumably
vernünftig	Reasonable
veröf	veröf is not a valid German word. It's possible that it's a typo or a misspelling of another word. If you provide more context or clarify which word you're trying to translate, I'll be happy to help.
veröffentlichen	Publish
verpacken	to pack
verpassen	miss
verpasstwir	Missed us
verpflegen	to cater for, to provide for, to care for
verpflichten	obligate
verraten	betrayed
verreisen	to travel abroad
verreist	Absent
verrückt	crazy
versammlung	Assembly
versäumen	overlook, miss, neglect, omit
verschenken	Give away for free
verschieben	postpone or shift
verschied	various
verschiede	various
verschieden	Different
verschmutzen	pollute
verschreiben	prescribe
verschrieb	prescribed
verschwinden	Disappear
versichern	Assure, guarantee, insure
versichertenkarter	Insurance card holder
versicherung	Insurance
versicherungsgesellschaft	Insurance company or Insurance society
versinken	sink
verspä	late
verspätung	Delay
versprechen	to promise
verständlich	Intelligible
verständlichsich	Intelligibly itself
verständnis	Understanding
verstecken	hide
verstehen	understand
versuch	attempt
versuchen	try
verteilen	Distribute
verteiln	distribute
vertr	agree
vertrag	Contract
vertragmache	Contractual agreement
vertrauen	Trust
vertraut	trusted
vertreten	Represented
vertreter	Representative
vertreterin	Representative (female) or Delegate (female)
vertretung	Representation
verursachen	to cause
verurteilen	Condemn
verwaltung	Administration
verwanden	Transformed
verwandte	Related
verwechseln	confuse
verwechseltdieses	confused this
verwenden	use
verzeihen	Forgive
verzeihung	Forgiveness
verzichten	Abstain, Refrain, Forgo, Waive
verzieh	Forgave
video	video
videospiel	Video game
viel	much
viele	many
vielen	many
vieler	many
vielfantasie	Multifaceted imagination
vielleicht	maybe
vier	four
viertel	quarter
viertelstunde	quarter of an hour
viren	viruses
virtuell	Virtual
virus	virus
visa	Visa
visitenkarte	Business card
visum	Visa
vitamin	Vitamin
vogel	bird
vogelhaus	Birdhouse
volkshochschule	People's High School or Folk High School
voll	full
volleyball	volleyball
völlig	completely
völligvonda	completely changed
vollmond	Full moon
vollpension	Full pension
volltanken	Fill up completely
vollzeit	full-time
voneinander	from one another
voneinandervor	One another in front of
vonmir	From me
vonobe	I couldn't find a translation for "vonobe". It's possible that it's a misspelling or not a valid German word.
vonuns	of us
voraus	ahead
vorausset	presuppose
voraussetzung	Assumption
voraussichtlich	Likely, presumably
vorbei	past, by, through, on the way, gone
vorbeikommen	drop by
vorbereiten	Prepare
vorbereitung	Preparation
vorder	front
vorderer	front
vorfahrt	Right of way
vorgeelsen	Foregiveness
vorgehaben	Planned or Intended
vorgestern	the day before yesterday
vorgesternvorhaben	Yesterday's plan or yesterday's intention
vorher	before
vorhin	earlier, previously
vorhinvorkomm	Antecedent event
vorkommen	to occur
vorläufig	Provisional
vorlesen	to read aloud
vormittag	morning
vorn	in front
vornam	Forename
vorname	First name
vorne	front
vorort	suburb
vorschlag	Proposal
vorschlagen	to suggest
vorschrift	Regulation
vorsicht	Caution
vorsichtig	Careful
vorspeis	Appetizer
vorstellen	to introduce
vorstellung	Presentation
vorstellungs	Presentation
vorstellungsgespräch	Job interview
vorteil	advantage
vortrag	Lecture
vorwahl	Area code
vorwärts	forward
vorwurf	Accusation
vorzu	to come before
waagerecht	Horizontal
wach	awake
wachen	watch
wachsen	grow
wachwachsen	grow up
wagen	to venture, to dare
wahl	election
wählen	choose
wahnsinnig	insane
wahr	true
während	while
wahrheit	truth
wahrscheinlich	probable
wald	forest
wand	wall
wanderen	to walk or hike
wandern	to wander or hike
wanderung	Hike
wann	when
ware	Goods
warm	warm
wärme	heat
warnen	to warn
warst	were you
wart	wait
warte	wait
warten	to wait
wartest	are waiting
warum	why
wasch	wash
wäsche	laundry
waschen	to wash
